episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
97,3,-0.15702914962312692,-167.08932357056412,13802.464518229166,21011.340169270832,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
98,7,-0.1766781376772781,-71.68930010350242,17881.073660714286,23448.19510323661,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
99,4,-0.18268369430048115,-125.44505004811045,17482.8095703125,22157.867431640625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
100,6,-0.059482822465085385,-83.5021511356497,12795.653696695963,15322.274495442709,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
101,12,41.60636820396106,-83.37851932863548,16520.951243082684,23719.481119791668,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
102,7,-0.07983981741480042,-71.57387362160026,14950.37153843471,19716.066964285714,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
103,2,-0.19464108999437546,-250.83876142484715,27093.52734375,18044.2890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
104,12,-41.85784530823904,-41.563152584708,12172.364583333334,15726.0632425944,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
105,2,-250.0923976619374,0.09239766193739593,18439.232421875,19470.33935546875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
106,13,-0.08994611826197368,-38.449848207605804,14510.582369290865,16913.78181340144,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
107,7,-0.10225664824888907,-71.46999442709252,14190.62172154018,27307.023018973214,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
108,7,-0.07393434775734083,-71.55041302139263,9592.550223214286,21092.638532366072,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
109,2,-0.032804493360677145,-250.46863444589883,17264.577514648438,17094.06201171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
110,8,-62.65888341860814,0.15888341860814031,12801.217346191406,26498.828674316406,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
111,5,-0.09194002023729753,-100.1115952913149,14175.391625976563,15848.94609375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
112,8,-0.04174496332688038,-62.70536142443237,21129.60498046875,20029.06414794922,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
113,11,-0.058530731844067145,-45.596572767536514,16264.97988059304,22456.756303267044,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
114,13,-0.10029692173461215,-38.43848264760441,12730.425950270434,18889.914532001203,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
115,3,-0.12927225078970053,-167.1717137242101,7310.718587239583,17821.796305338543,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
116,8,-62.58841875271047,0.08841875271047273,13581.304229736328,21449.405700683594,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
117,4,-125.15774764300767,0.15774764300767583,9969.283966064453,16352.660888671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
118,2,-0.06829537943552402,-250.559175774264,15255.0888671875,14286.00537109375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
119,15,33.25385315714368,-66.65612391233441,14394.490360514323,22413.892513020834,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
120,8,-0.0747885228259954,-62.638242588194785,10585.292739868164,20283.495544433594,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
121,7,-71.51554390899219,0.08697248042075174,9564.18980189732,19574.253766741072,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
122,5,-0.14236595928425205,-100.07797422620297,9642.2818359375,22468.34970703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
123,2,-0.18401471114025442,-250.63457515848376,14189.8681640625,13882.095703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
124,7,-0.12195900094616884,-71.49586334382126,16179.488978794643,15252.985909598214,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
125,1,-0.12996104013971685,-500.89264400516066,21991.6484375,26304.30859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
126,1,-0.07737437184693469,-501.1029579715812,17282.974609375,15544.4951171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
127,6,-0.08497282511334538,-83.4624069933355,11929.788818359375,23543.651611328125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
128,8,-62.62726912578523,-62.59033743841555,15967.060607910156,21231.45489501953,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
129,10,-50.08071159677978,0.08071159677977742,10008.260083007812,24899.575,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
